entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2024-07-19 14:00,65812.79,0.00488,66765.88,67860.26,511.87,2024-07-21 06:00,66765.88,SL,4.3253,1.35
2024-07-26 04:00,67142.91,0.00465,66982.55,69302.74,539.96,2024-07-26 14:00,66982.55,SL,-1.0571,-0.34
2024-08-21 13:00,59987.93,0.00572,60471.58,61739.61,437.92,2024-08-22 02:00,60471.58,SL,2.4206,0.71
2024-09-17 15:00,61196.64,0.00501,60194.88,63200.14,500.88,2024-09-17 19:00,60194.88,SL,-5.3204,-1.74
2024-09-26 09:00,63861.8,0.00777,65475.27,65147.23,321.36,2024-09-28 09:00,65475.27,SL,12.0279,2.42
2024-10-24 14:00,67854.06,0.00653,67514.75,69402.44,387.1,2024-10-25 07:00,67514.75,SL,-2.6566,-0.6
2024-10-27 14:00,67763.69,0.0121,67627.77,68596.53,208.21,2024-10-28 05:00,67627.77,SL,-2.4629,-0.3
2024-11-15 09:00,89285.19,0.00243,88149.13,93418.41,1033.31,2024-11-15 15:00,88149.13,SL,-2.9748,-1.37
2024-11-18 03:00,90759.25,0.00414,90804.5,93175.42,604.04,2024-11-18 11:00,90804.5,SL,-0.1886,-0.05
2024-11-25 08:00,98315.99,0.00429,97316.06,100645.67,582.42,2024-11-25 13:00,97316.06,SL,-4.7072,-1.12
2024-11-27 19:00,96724.62,0.00302,95078.77,100016.32,822.93,2024-11-28 03:00,95078.77,SL,-5.2576,-1.8
2024-12-04 07:00,96685.4,0.00398,95664.82,99171.57,621.54,2024-12-04 13:00,95664.82,SL,-4.4427,-1.15
2024-12-04 19:00,97306.85,0.00339,101479.31,100208.7,725.46,2024-12-05 15:00,101479.31,SL,13.8006,4.18
2024-12-06 14:00,99581.17,0.00218,99133.47,104158.79,1144.41,2024-12-06 23:00,99133.47,SL,-1.1921,-0.55
2025-01-20 06:00,107593.99,0.00144,104993.67,114500.92,1726.73,2025-01-20 15:00,104993.67,SL,-3.8957,-2.51
2025-01-21 18:00,106968.04,0.00164,104099.41,113010.3,1510.57,2025-01-22 13:00,104099.41,SL,-4.8753,-2.78
2025-01-24 06:00,105096.0,0.00199,104515.07,110067.01,1242.75,2025-01-24 23:00,104515.07,SL,-1.364,-0.65
2025-03-23 11:00,84764.67,0.01156,87427.73,85617.82,213.29,2025-03-24 22:00,87427.73,SL,29.7743,3.04
2025-03-27 21:00,87656.25,0.00504,86648.35,89672.05,503.95,2025-03-28 03:00,86700.37,SIGNAL,-5.2546,-1.19
2025-04-17 09:00,84561.79,0.00509,83836.99,86543.92,495.53,2025-04-17 14:00,83836.99,SL,-4.116,-0.96
2025-04-21 00:00,86712.31,0.00603,86741.93,88379.9,416.9,2025-04-21 11:00,86741.93,SL,-0.3444,-0.07
2025-04-28 07:00,94787.18,0.00617,94474.83,96415.55,407.09,2025-04-28 13:00,94474.83,SL,-2.5101,-0.43
2025-05-01 05:00,95243.11,0.00541,96760.55,97092.52,462.35,2025-05-02 21:00,96760.55,SL,7.6859,1.49
2025-05-06 23:00,96930.85,0.00447,96257.87,99187.81,564.24,2025-05-07 03:00,96257.87,SL,-3.4385,-0.79
2025-05-13 17:00,104372.44,0.00375,103475.44,107049.16,669.18,2025-05-14 03:00,103475.44,SL,-3.7518,-0.96
2025-05-16 01:00,104151.66,0.0037,103093.15,106856.5,676.21,2025-05-17 01:00,103093.15,SL,-4.2979,-1.12
