entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2023-12-13 20:00,42911.9,0.00331,41873.17,45936.67,756.19,2023-12-14 12:00,41873.17,SL,-3.5768,-2.52
2023-12-19 08:00,43019.09,0.00408,42913.28,45463.75,611.16,2023-12-24 20:00,42913.28,SL,-0.6068,-0.35
2023-12-28 00:00,43451.82,0.00494,42444.26,45466.93,503.78,2023-12-28 12:00,42444.26,SL,-5.187,-2.42
2024-01-28 00:00,42274.06,0.00521,42546.76,44175.47,475.35,2024-01-31 08:00,42546.76,SL,1.1991,0.54
2024-04-07 04:00,69433.37,0.00239,70252.49,73586.57,1038.3,2024-04-09 04:00,70252.49,SL,1.7898,1.08
2024-04-22 16:00,66591.29,0.00221,64830.52,71074.07,1120.69,2024-04-24 12:00,64830.52,SL,-4.0346,-2.74
2024-10-12 20:00,63269.43,0.00346,67902.68,66126.01,714.15,2024-10-21 12:00,67902.68,SL,15.7961,7.22
2024-12-11 12:00,100462.0,0.0014,104027.57,107641.55,1794.89,2024-12-18 04:00,104027.57,SL,4.8462,3.45
2025-01-03 12:00,97618.87,0.00217,100060.03,102258.12,1159.81,2025-01-07 12:00,100060.03,SL,5.0802,2.4
2025-01-15 08:00,96858.94,0.0018,97481.12,102494.51,1408.89,2025-01-16 12:00,97481.12,SL,0.9445,0.54
2025-02-21 00:00,98240.13,0.00264,96795.85,102080.99,960.21,2025-02-21 16:00,96795.85,SL,-4.0684,-1.57
2025-06-16 20:00,106901.32,0.00225,105267.48,111395.01,1123.42,2025-06-17 12:00,105267.48,SL,-3.913,-1.63
2025-06-25 08:00,107305.22,0.00195,107000.0,112465.91,1290.17,2025-06-30 12:00,107000.0,SL,-0.8038,-0.38
2025-07-26 20:00,118037.91,0.00232,117522.48,122369.93,1083.01,2025-07-28 16:00,117522.48,SL,-1.4684,-0.54
2025-08-08 04:00,116934.01,0.00249,119515.58,120957.93,1005.98,2025-08-11 12:00,119515.58,SL,6.1305,2.11
2026-05-01 12:00,78524.34,0.00313,78879.28,81749.92,806.4,2026-05-04 08:00,78879.28,SL,0.8641,0.35
