entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2022-11-04 12:00,20859.54,0.00625,20729.82,21970.9,277.84,2022-11-07 04:00,20729.82,SL,-0.9403,-0.72
2023-02-01 16:00,23409.38,0.00629,23012.55,24679.72,317.59,2023-02-04 20:00,23303.51,SIGNAL,-0.8125,-0.55
2023-03-01 08:00,23762.91,0.006,22930.94,25094.05,332.79,2023-03-02 12:00,23337.75,SIGNAL,-2.691,-1.89
2023-03-26 20:00,27996.02,0.00437,26858.12,29818.46,455.61,2023-03-27 12:00,26858.12,SL,-5.09,-4.16
2023-03-29 08:00,28382.34,0.00405,27549.71,30338.68,489.08,2023-04-03 00:00,27726.1,SIGNAL,-2.7701,-2.41
2023-04-09 20:00,28352.08,0.00798,29953.45,29342.22,247.53,2023-04-17 00:00,29953.45,SL,12.5399,5.54
2023-04-18 20:00,30410.39,0.0059,29593.13,31718.0,326.9,2023-04-19 08:00,29593.13,SL,-4.9964,-2.78
2023-05-04 00:00,29125.96,0.00452,28537.26,30885.41,439.86,2023-05-06 12:00,28537.26,SL,-2.7899,-2.12
2023-07-10 16:00,30868.24,0.00762,30217.98,31908.65,260.1,2023-07-10 20:00,30217.98,SL,-5.1852,-2.2
2023-10-15 20:00,27181.3,0.01178,34418.93,27851.04,167.43,2023-11-02 16:00,34418.93,SL,84.8538,26.5
2023-11-07 16:00,35489.43,0.0052,35790.63,37134.99,411.39,2023-11-09 16:00,35790.63,SL,1.3801,0.75
2023-11-15 20:00,37896.06,0.00304,36465.41,40185.1,572.26,2023-11-16 12:00,36465.41,SL,-4.46,-3.87
2023-11-28 16:00,38152.37,0.00533,42831.05,39754.89,400.63,2023-12-11 00:00,42831.05,SL,24.7091,12.15
2023-12-14 04:00,42941.88,0.00276,41524.7,45751.52,702.41,2023-12-14 12:00,41524.7,SL,-4.026,-3.4
2023-12-19 00:00,43125.28,0.00314,42682.98,45755.03,657.44,2023-12-24 20:00,42682.98,SL,-1.5228,-1.12
2024-01-01 12:00,42825.83,0.00468,44022.49,44681.95,464.03,2024-01-03 08:00,44022.49,SL,5.3943,2.69
2024-01-05 20:00,44189.26,0.00196,44930.73,47711.25,880.5,2024-01-09 20:00,44930.73,SL,1.3652,1.58
2024-02-06 12:00,43288.13,0.00481,50869.0,45103.27,453.78,2024-02-20 16:00,50869.0,SL,36.2193,17.4
2024-02-25 04:00,51771.0,0.00451,65272.06,53772.88,500.47,2024-03-05 04:00,65272.06,SL,60.5954,25.95
2024-03-21 08:00,67111.04,0.00115,62387.51,74668.7,1889.42,2024-03-21 20:00,65435.77,SIGNAL,-2.0018,-2.59
2024-03-22 04:00,66244.19,0.00136,61888.68,73213.01,1742.2,2024-03-22 08:00,64169.67,SIGNAL,-2.9086,-3.23
2024-03-24 16:00,65908.86,0.00173,69373.16,71394.84,1371.49,2024-04-01 04:00,69373.16,SL,5.8732,5.15
2024-04-05 00:00,67931.85,0.00191,64944.47,72711.66,1194.95,2024-04-05 04:00,66863.81,SIGNAL,-2.1677,-1.67
2024-04-05 12:00,68258.81,0.00155,69714.62,73583.9,1331.27,2024-04-09 08:00,69714.62,SL,2.1484,2.03
2024-05-25 12:00,68999.33,0.00256,67329.89,72718.41,929.77,2024-05-27 08:00,68365.83,SIGNAL,-1.7968,-1.02
2024-05-27 12:00,70444.22,0.00283,68345.69,73801.88,839.42,2024-05-28 00:00,68345.69,SL,-6.1323,-3.08
2024-06-03 00:00,68451.19,0.00352,69987.37,71134.4,670.8,2024-06-07 16:00,69987.37,SL,5.161,2.14
