entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2024-08-21 13:00,59987.93,0.00761,59331.05,61739.61,437.92,2024-08-21 14:00,59331.05,SL,-5.4504,-1.19
2025-07-24 14:00,119176.17,0.00506,118193.46,121796.71,655.14,2025-07-24 22:00,118193.46,SL,-5.5706,-0.92
2025-09-16 15:00,116021.79,0.00743,115356.54,117795.78,443.5,2025-09-17 18:00,115356.54,SL,-5.7999,-0.67
2026-01-11 16:00,91130.19,0.01548,90813.25,91975.36,211.29,2026-01-11 18:00,90813.25,SL,-6.312,-0.45
2026-01-11 23:00,91104.66,0.01184,90693.69,92200.59,273.98,2026-01-12 02:00,92200.59,TP,11.8842,1.1
