entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2023-10-15 20:00,27181.3,0.01195,34418.93,27851.04,167.43,2023-11-02 16:00,34418.93,SL,86.0784,26.5
2023-11-07 16:00,35489.43,0.00528,35790.63,37134.99,411.39,2023-11-09 16:00,35790.63,SL,1.4014,0.75
2023-11-15 20:00,37896.06,0.00308,36465.41,40185.1,572.26,2023-11-16 12:00,36465.41,SL,-4.5187,-3.87
2023-11-28 16:00,38152.37,0.0054,42831.05,39754.89,400.63,2023-12-11 00:00,42831.05,SL,25.0336,12.15
2023-12-14 04:00,42941.88,0.00279,41524.7,45751.52,702.41,2023-12-14 12:00,41524.7,SL,-4.0698,-3.4
2023-12-19 00:00,43125.28,0.00319,42682.98,45755.03,657.44,2023-12-24 20:00,42682.98,SL,-1.5471,-1.12
2024-01-01 12:00,42825.83,0.00475,44022.49,44681.95,464.03,2024-01-03 08:00,44022.49,SL,5.475,2.69
2024-01-05 20:00,44189.26,0.00198,44930.73,47711.25,880.5,2024-01-09 20:00,44930.73,SL,1.3791,1.58
2024-02-06 12:00,43288.13,0.00488,50869.0,45103.27,453.78,2024-02-20 16:00,50869.0,SL,36.7464,17.4
2024-02-25 04:00,51771.0,0.00457,65272.06,53772.88,500.47,2024-03-05 04:00,65272.06,SL,61.4016,25.95
2024-03-21 08:00,67111.04,0.00117,62387.51,74668.7,1889.42,2024-03-21 20:00,65435.77,SIGNAL,-2.0366,-2.59
2024-03-22 04:00,66244.19,0.00138,61888.68,73213.01,1742.2,2024-03-22 08:00,64169.67,SIGNAL,-2.9514,-3.23
2024-03-24 16:00,65908.86,0.00175,69373.16,71394.84,1371.49,2024-04-01 04:00,69373.16,SL,5.9411,5.15
2024-04-05 00:00,67931.85,0.00194,64944.47,72711.66,1194.95,2024-04-05 04:00,66863.81,SIGNAL,-2.2017,-1.67
2024-04-05 12:00,68258.81,0.00157,69714.62,73583.9,1331.27,2024-04-09 08:00,69714.62,SL,2.1762,2.03
2024-05-25 12:00,68999.33,0.00259,67329.89,72718.41,929.77,2024-05-27 08:00,68365.83,SIGNAL,-1.8178,-1.02
2024-05-27 12:00,70444.22,0.00287,68345.69,73801.88,839.42,2024-05-28 00:00,68345.69,SL,-6.2189,-3.08
2024-06-03 00:00,68451.19,0.00357,69987.37,71134.4,670.8,2024-06-07 16:00,69987.37,SL,5.2343,2.14
2024-07-26 08:00,67389.32,0.00238,67293.89,71325.72,984.1,2024-07-29 16:00,67293.89,SL,-0.3873,-0.24
2024-10-05 20:00,62120.06,0.00345,61935.18,64911.24,697.8,2024-10-08 12:00,61935.18,SL,-0.8515,-0.4
2024-10-24 16:00,68378.1,0.00312,66499.76,71383.45,751.34,2024-10-25 16:00,66499.76,SL,-6.0679,-2.84
2024-10-27 16:00,67917.85,0.00368,70532.82,70514.14,649.07,2024-10-31 12:00,70532.82,SL,9.3635,3.75
2024-11-06 00:00,74422.88,0.00119,86960.61,79832.74,1352.47,2024-11-14 20:00,86960.61,SL,14.8164,16.73
2024-11-28 08:00,95547.46,0.00151,94619.91,101885.5,1584.51,2024-12-02 08:00,95033.55,SIGNAL,-0.9195,-0.64
2024-12-11 16:00,101223.83,0.00133,103332.39,108328.49,1776.16,2024-12-18 04:00,103332.39,SL,2.667,1.98
2025-05-07 00:00,96603.41,0.0021,101962.05,100758.75,1038.84,2025-05-12 16:00,101962.05,SL,11.039,5.44
2025-06-16 08:00,106990.87,0.00253,106060.55,110879.78,972.23,2025-06-17 08:00,106060.55,SL,-2.622,-0.97
2025-07-02 12:00,108846.48,0.00271,107387.76,112473.81,906.83,2025-07-04 16:00,107387.76,SL,-4.2442,-1.44
2025-07-06 12:00,109014.9,0.00379,107614.46,111597.14,645.56,2025-07-07 16:00,107614.46,SL,-5.7155,-1.38
2025-07-21 04:00,119482.03,0.00205,116520.42,124220.62,1184.65,2025-07-21 16:00,116650.9,SIGNAL,-6.0429,-2.47
2025-07-22 12:00,119030.95,0.00154,116434.19,124658.32,1406.84,2025-07-25 00:00,116434.19,SL,-4.1783,-2.28
2025-07-27 00:00,118301.01,0.00231,117049.21,122475.8,1043.7,2025-07-29 16:00,117049.21,SL,-3.162,-1.16
2026-01-12 00:00,91899.93,0.00313,94427.98,94977.55,769.41,2026-01-16 12:00,94427.98,SL,7.6172,2.65
2026-03-24 00:00,70613.44,0.00192,68870.11,75281.62,1167.04,2026-03-26 12:00,68870.11,SL,-3.4794,-2.57
2026-04-13 16:00,73396.14,0.00266,75087.44,77002.06,901.48,2026-04-19 04:00,75087.44,SL,4.2991,2.2
2026-05-01 08:00,77541.44,0.00322,78520.03,80551.96,752.63,2026-05-04 08:00,78520.03,SL,2.8982,1.16
2026-05-09 16:00,81019.47,0.00343,80452.4,83846.17,706.68,2026-05-12 12:00,80452.4,SL,-2.221,-0.8
