entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2021-08-19 20:00,46807.38,0.00188,48261.29,50900.66,1023.32,2021-08-24 12:00,48261.29,SL,2.6426,3.0
2021-08-28 00:00,48901.84,0.00223,46902.87,52505.74,900.97,2021-08-30 08:00,47854.86,SIGNAL,-2.4415,-2.24
2021-09-01 20:00,48859.33,0.00237,50790.3,52229.08,842.44,2021-09-07 08:00,50790.3,SL,4.456,3.85
2021-10-25 12:00,63670.48,0.0017,60711.93,68404.15,1183.42,2021-10-26 20:00,60711.93,SL,-5.1327,-4.74
2021-10-29 12:00,62362.29,0.0012,58976.46,68180.76,1454.62,2021-10-31 12:00,60399.77,SIGNAL,-2.4275,-3.24
2021-11-07 12:00,61999.95,0.00222,65650.66,65591.71,897.94,2021-11-10 20:00,65650.66,SL,7.9588,5.78
2021-11-15 00:00,65778.36,0.0019,63155.71,70015.9,1059.39,2021-11-15 20:00,63543.13,SIGNAL,-4.3677,-3.49
2022-02-15 04:00,43735.26,0.00253,42675.16,46891.03,788.94,2022-02-17 12:00,42675.16,SL,-2.79,-2.52
2022-03-22 00:00,42278.7,0.00302,46295.9,44922.34,660.91,2022-03-31 12:00,46295.9,SL,11.9921,9.39
2022-07-27 20:00,22975.4,0.00393,23238.81,25029.58,513.54,2022-07-31 20:00,23238.81,SL,0.9439,1.05
2022-11-04 12:00,20859.54,0.00632,20729.82,21970.9,277.84,2022-11-07 04:00,20729.82,SL,-0.9508,-0.72
2023-02-01 16:00,23409.38,0.00635,23012.55,24679.72,317.59,2023-02-04 20:00,23303.51,SIGNAL,-0.8202,-0.55
2023-03-01 08:00,23762.91,0.00606,22930.94,25094.05,332.79,2023-03-02 12:00,23337.75,SIGNAL,-2.7179,-1.89
2023-03-26 20:00,27996.02,0.00441,26858.12,29818.46,455.61,2023-03-27 12:00,26858.12,SL,-5.1366,-4.16
2023-03-29 08:00,28382.34,0.00409,27549.71,30338.68,489.08,2023-04-03 00:00,27726.1,SIGNAL,-2.7974,-2.41
2023-04-09 20:00,28352.08,0.00805,29953.45,29342.22,247.53,2023-04-17 00:00,29953.45,SL,12.6499,5.54
2023-04-18 20:00,30410.39,0.00596,29593.13,31718.0,326.9,2023-04-19 08:00,29593.13,SL,-5.0472,-2.78
2023-05-04 00:00,29125.96,0.00456,28537.26,30885.41,439.86,2023-05-06 12:00,28537.26,SL,-2.8146,-2.12
2023-07-10 16:00,30868.24,0.0077,30217.98,31908.65,260.1,2023-07-10 20:00,30217.98,SL,-5.2397,-2.2
2023-10-15 20:00,27181.3,0.01189,34418.93,27851.04,167.43,2023-11-02 16:00,34418.93,SL,85.6462,26.5
2023-11-07 16:00,35489.43,0.00525,35790.63,37134.99,411.39,2023-11-09 16:00,35790.63,SL,1.3934,0.75
2023-11-15 20:00,37896.06,0.00307,36465.41,40185.1,572.26,2023-11-16 12:00,36465.41,SL,-4.504,-3.87
2023-11-28 16:00,38152.37,0.00538,42831.05,39754.89,400.63,2023-12-11 00:00,42831.05,SL,24.9409,12.15
2023-12-14 04:00,42941.88,0.00278,41524.7,45751.52,702.41,2023-12-14 12:00,41524.7,SL,-4.0552,-3.4
2023-12-19 00:00,43125.28,0.00317,42682.98,45755.03,657.44,2023-12-24 20:00,42682.98,SL,-1.5374,-1.12
2024-01-01 12:00,42825.83,0.00472,44022.49,44681.95,464.03,2024-01-03 08:00,44022.49,SL,5.4404,2.69
2024-01-05 20:00,44189.26,0.00198,44930.73,47711.25,880.5,2024-01-09 20:00,44930.73,SL,1.3791,1.58
2024-02-06 12:00,43288.13,0.00486,50869.0,45103.27,453.78,2024-02-20 16:00,50869.0,SL,36.5958,17.4
2024-02-25 04:00,51771.0,0.00455,65272.06,53772.88,500.47,2024-03-05 04:00,65272.06,SL,61.1328,25.95
2024-03-21 08:00,67111.04,0.00116,62387.51,74668.7,1889.42,2024-03-21 20:00,65435.77,SIGNAL,-2.0192,-2.59
2024-03-22 04:00,66244.19,0.00138,61888.68,73213.01,1742.2,2024-03-22 08:00,64169.67,SIGNAL,-2.9514,-3.23
2024-03-24 16:00,65908.86,0.00174,69373.16,71394.84,1371.49,2024-04-01 04:00,69373.16,SL,5.9072,5.15
2024-04-05 00:00,67931.85,0.00193,64944.47,72711.66,1194.95,2024-04-05 04:00,66863.81,SIGNAL,-2.1904,-1.67
2024-04-05 12:00,68258.81,0.00157,69714.62,73583.9,1331.27,2024-04-09 08:00,69714.62,SL,2.1762,2.03
2024-05-25 12:00,68999.33,0.00258,67329.89,72718.41,929.77,2024-05-27 08:00,68365.83,SIGNAL,-1.8108,-1.02
2024-05-27 12:00,70444.22,0.00286,68345.69,73801.88,839.42,2024-05-28 00:00,68345.69,SL,-6.1973,-3.08
2024-06-03 00:00,68451.19,0.00355,69987.37,71134.4,670.8,2024-06-07 16:00,69987.37,SL,5.205,2.14
2024-07-26 08:00,67389.32,0.00237,67293.89,71325.72,984.1,2024-07-29 16:00,67293.89,SL,-0.3857,-0.24
2024-10-05 20:00,62120.06,0.00343,61935.18,64911.24,697.8,2024-10-08 12:00,61935.18,SL,-0.8466,-0.4
2024-10-24 16:00,68378.1,0.0031,66499.76,71383.45,751.34,2024-10-25 16:00,66499.76,SL,-6.029,-2.84
2024-10-27 16:00,67917.85,0.00366,70532.82,70514.14,649.07,2024-10-31 12:00,70532.82,SL,9.3126,3.75
2024-11-06 00:00,74422.88,0.00118,86960.61,79832.74,1352.47,2024-11-14 20:00,86960.61,SL,14.6919,16.73
2024-11-28 08:00,95547.46,0.0015,94619.91,101885.5,1584.51,2024-12-02 08:00,95033.55,SIGNAL,-0.9134,-0.64
2024-12-11 16:00,101223.83,0.00132,103332.39,108328.49,1776.16,2024-12-18 04:00,103332.39,SL,2.6469,1.98
2025-05-07 00:00,96603.41,0.00209,101962.05,100758.75,1038.84,2025-05-12 16:00,101962.05,SL,10.9865,5.44
2025-06-16 08:00,106990.87,0.00252,106060.55,110879.78,972.23,2025-06-17 08:00,106060.55,SL,-2.6117,-0.97
2025-07-02 12:00,108846.48,0.0027,107387.76,112473.81,906.83,2025-07-04 16:00,107387.76,SL,-4.2285,-1.44
2025-07-06 12:00,109014.9,0.00377,107614.46,111597.14,645.56,2025-07-07 16:00,107614.46,SL,-5.6854,-1.38
2025-07-21 04:00,119482.03,0.00205,116520.42,124220.62,1184.65,2025-07-21 16:00,116650.9,SIGNAL,-6.0429,-2.47
2025-07-22 12:00,119030.95,0.00154,116434.19,124658.32,1406.84,2025-07-25 00:00,116434.19,SL,-4.1783,-2.28
2025-07-27 00:00,118301.01,0.0023,117049.21,122475.8,1043.7,2025-07-29 16:00,117049.21,SL,-3.1484,-1.16
2026-01-12 00:00,91899.93,0.00311,94427.98,94977.55,769.41,2026-01-16 12:00,94427.98,SL,7.5686,2.65
2026-03-24 00:00,70613.44,0.00191,68870.11,75281.62,1167.04,2026-03-26 12:00,68870.11,SL,-3.4613,-2.57
2026-04-13 16:00,73396.14,0.00265,75087.44,77002.06,901.48,2026-04-19 04:00,75087.44,SL,4.283,2.2
2026-05-01 08:00,77541.44,0.0032,78520.03,80551.96,752.63,2026-05-04 08:00,78520.03,SL,2.8802,1.16
2026-05-09 16:00,81019.47,0.00342,80452.4,83846.17,706.68,2026-05-12 12:00,80452.4,SL,-2.2145,-0.8
