entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2024-07-26 08:00,67389.32,0.00198,67293.9,71325.72,984.1,2024-07-29 16:00,67293.9,SL,-0.3222,-0.24
2024-10-05 20:00,62120.06,0.00286,61935.18,64911.24,697.8,2024-10-08 12:00,61935.18,SL,-0.7059,-0.4
2024-10-24 16:00,68378.1,0.00259,66499.76,71383.45,751.34,2024-10-25 16:00,66499.76,SL,-5.0371,-2.84
2024-10-27 16:00,67917.85,0.00306,70532.82,70514.14,649.07,2024-10-31 12:00,70532.82,SL,7.786,3.75
2024-11-06 00:00,74422.88,0.00099,86960.61,79832.74,1352.47,2024-11-14 20:00,86960.61,SL,12.3263,16.73
2024-11-28 08:00,95547.46,0.00125,94619.91,101885.5,1584.51,2024-12-02 08:00,95033.55,SIGNAL,-0.7612,-0.64
2024-12-11 16:00,101223.83,0.00111,103332.39,108328.49,1776.16,2024-12-18 04:00,103332.39,SL,2.2258,1.98
2025-05-07 00:00,96603.41,0.00175,101962.05,100758.75,1038.84,2025-05-12 16:00,101962.05,SL,9.1992,5.44
2025-06-16 08:00,106990.87,0.00211,106060.55,110879.78,972.23,2025-06-17 08:00,106060.55,SL,-2.1868,-0.97
2025-07-02 12:00,108846.48,0.00225,107387.76,112473.81,906.83,2025-07-04 16:00,107387.76,SL,-3.5237,-1.44
2025-07-06 12:00,109014.9,0.00315,107614.46,111597.14,645.56,2025-07-07 16:00,107614.46,SL,-4.7504,-1.38
2025-07-21 04:00,119482.03,0.00171,116520.42,124220.62,1184.65,2025-07-21 16:00,116650.9,SIGNAL,-5.0407,-2.47
2025-07-22 12:00,119030.95,0.00128,116434.19,124658.32,1406.84,2025-07-25 00:00,116434.19,SL,-3.4729,-2.28
2025-07-27 00:00,118301.01,0.00192,117049.21,122475.8,1043.7,2025-07-29 16:00,117049.21,SL,-2.6282,-1.16
2026-01-12 00:00,91899.93,0.0026,94427.98,94977.55,769.41,2026-01-16 12:00,94427.98,SL,6.3274,2.65
2026-03-24 00:00,70613.44,0.00159,68870.11,75281.62,1167.04,2026-03-26 12:00,68870.11,SL,-2.8814,-2.57
2026-04-13 16:00,73396.14,0.00221,75087.44,77002.06,901.48,2026-04-19 04:00,75087.44,SL,3.5718,2.2
2026-05-01 08:00,77541.44,0.00268,78520.03,80551.96,752.63,2026-05-04 08:00,78520.03,SL,2.4122,1.16
2026-05-09 16:00,81019.47,0.00286,80452.4,83846.17,706.68,2026-05-12 12:00,80452.4,SL,-1.8519,-0.8
